{-0.9864337: 1
 -0.9448173: 1
 -0.903201: 0
 -0.8615846: 2
 -0.8199682: 1
 -0.7783519: 1
 -0.7367355: 0
 -0.69511914: 0
 -0.6535028: 0
 -0.61188644: 1
 -0.57027006: 5
 -0.52865374: 9
 -0.48703736: 16
 -0.445421: 24
 -0.40380463: 111
 -0.36218828: 347
 -0.32057193: 1439
 -0.27895555: 5111
 -0.2373392: 17320
 -0.19572283: 55583
 -0.15410647: 160062
 -0.11249011: 421210
 -0.07087375: 967091
 -0.029257393: 30462750
 0.012358968: 3124946
 0.05397533: 4352493
 0.09559169: 5281613
 0.13720804: 5904818
 0.17882441: 6325035
 0.22044078: 6376804
 0.26205713: 5706006
 0.3036735: 4323434
 0.34528986: 2700881
 0.3869062: 1393136
 0.4285226: 600365
 0.47013894: 221585
 0.5117553: 71476
 0.55337167: 20902
 0.594988: 5895
 0.63660437: 1653
 0.67822075: 526
 0.71983707: 214
 0.76145345: 140
 0.80306983: 120
 0.84468615: 87
 0.88630253: 68
 0.9279189: 73
 0.96953523: 49
 1.0111517: 41
 1.052768: 37
 1.0943843: 35
 1.1360008: 30
 1.1776171: 31
 1.2192334: 30
 1.2608498: 23
 1.3024662: 21
 1.3440825: 17
 1.3856989: 24
 1.4273152: 11
 1.4689316: 17
 1.510548: 11
 1.5521643: 16
 1.5937806: 12
 1.6353971: 12
 1.6770134: 8
 1.7186297: 6
 1.7602462: 11
 1.8018625: 13
 1.8434788: 8
 1.8850952: 9
 1.9267116: 9
 1.9683279: 5
 2.0099442: 9
 2.0515606: 5
 2.093177: 4
 2.1347933: 6
 2.1764097: 8
 2.2180262: 4
 2.2596424: 5
 2.3012588: 4
 2.3428752: 5
 2.3844914: 1
 2.426108: 2
 2.4677243: 4
 2.5093405: 2
 2.550957: 2
 2.5925734: 5
 2.6341896: 2
 2.675806: 2
 2.7174225: 4
 2.7590387: 4
 2.8006551: 2
 2.8422716: 0
 2.8838878: 4
 2.9255042: 1
 2.9671206: 1
 3.0087368: 3
 3.0503533: 2
 3.0919697: 1
 3.133586: 3}
